D,pad,shield,freq
0.1,0.6,1.4,38.17
0.1,0.6,1.4,38.18
0.1,0.6,1.4,38.19
0.1,0.6,1.4,38.2
0.1,0.6,1.4,38.21
0.1,0.6,1.4,38.22
0.1,0.6,1.4,38.23
0.1,0.6,1.4,38.24
0.1,0.6,1.4,38.25
0.1,0.6,1.4,38.26
0.1,0.6,1.4,38.27
0.1,0.6,1.4,38.28
0.1,0.6,1.4,38.29
0.1,0.6,1.4,38.3
0.1,0.6,1.4,38.31
0.1,0.6,1.4,38.32
0.1,0.6,1.4,38.33
0.1,0.6,1.4,38.34
0.1,0.6,1.4,38.35
0.1,0.6,1.4,38.36
0.1,0.6,1.4,38.37
0.1,0.6,1.4,38.38
0.1,0.6,1.4,38.39
0.1,0.6,1.4,38.4
0.1,0.6,1.4,38.41
0.1,0.6,1.4,38.42
0.1,0.6,1.4,38.43
0.1,0.6,1.4,38.44
0.1,0.6,1.4,38.45
0.1,0.6,1.4,38.46
0.1,0.6,1.4,38.47
0.1,0.6,1.4,38.48
0.1,0.6,1.4,38.49
0.1,0.6,1.4,38.5
0.1,0.6,1.4,38.51
0.1,0.6,1.4,38.52
0.1,0.6,1.4,38.53
0.1,0.6,1.4,38.54
0.1,0.6,1.4,38.55
0.1,0.6,1.4,38.56
0.1,0.6,1.4,38.57
0.1,0.6,1.4,38.58
0.1,0.6,1.4,38.59
0.1,0.6,1.4,38.6
0.1,0.6,1.4,38.61
0.1,0.6,1.4,38.62
0.1,0.6,1.4,38.63
0.1,0.6,1.4,38.64
0.1,0.6,1.4,38.65
0.1,0.6,1.4,38.66
0.1,0.6,1.4,38.67
0.1,0.6,1.4,38.68
0.1,0.6,1.4,38.69
0.1,0.6,1.4,38.7
0.1,0.6,1.4,38.71
0.1,0.6,1.4,38.72
0.1,0.6,1.4,38.73
0.1,0.6,1.4,38.74
0.1,0.6,1.4,38.75
0.1,0.6,1.4,38.76
0.1,0.6,1.4,38.77
0.1,0.6,1.4,38.78
0.1,0.6,1.4,38.79
0.1,0.6,1.4,38.8
0.1,0.6,1.4,38.81
0.1,0.6,1.4,38.82
0.1,0.6,1.4,38.83
0.1,0.6,1.4,38.84
0.1,0.6,1.4,38.85
0.1,0.6,1.4,38.86
0.1,0.6,1.4,38.87
0.1,0.6,1.4,38.88
0.1,0.6,1.4,38.89
0.1,0.6,1.4,38.9
0.1,0.6,1.4,38.91
0.1,0.6,1.4,38.92
0.1,0.6,1.4,38.93
0.1,0.6,1.4,38.94
0.1,0.6,1.4,38.95
0.1,0.6,1.4,38.96
0.1,0.6,1.4,38.97
0.1,0.6,1.4,38.98
0.1,0.6,1.4,38.99
0.1,0.6,1.4,39
0.1,0.6,1.4,39.01
0.1,0.6,1.4,39.02
0.1,0.6,1.4,39.03
0.1,0.6,1.4,39.04
0.1,0.6,1.4,39.05
0.1,0.6,1.4,39.06
0.1,0.6,1.4,39.07
0.1,0.6,1.4,39.08
0.1,0.6,1.4,39.09
0.1,0.6,1.4,39.1
0.1,0.6,1.4,39.11
0.1,0.6,1.4,39.12
0.1,0.6,1.4,39.13
0.1,0.6,1.4,39.14
0.1,0.6,1.4,39.15
0.1,0.6,1.4,39.16
0.1,0.6,1.4,39.17
0.1,0.6,1.4,39.18
0.1,0.6,1.4,39.19
0.1,0.6,1.4,39.2
0.1,0.6,1.4,39.21
0.1,0.6,1.4,39.22
0.1,0.6,1.4,39.23
0.1,0.6,1.4,39.24
0.1,0.6,1.4,39.25
0.1,0.6,1.4,39.26
0.1,0.6,1.4,39.27
0.1,0.6,1.4,39.28
0.1,0.6,1.4,39.29
0.1,0.6,1.4,39.3
0.1,0.6,1.4,39.31
0.1,0.6,1.4,39.32
0.1,0.6,1.4,39.33
0.1,0.6,1.4,39.34
0.1,0.6,1.4,39.35
0.1,0.6,1.4,39.36
0.1,0.6,1.4,39.37
0.1,0.6,1.4,39.38
0.1,0.6,1.4,39.39
0.1,0.6,1.4,39.4
0.1,0.6,1.4,39.41
0.1,0.6,1.4,39.42
0.1,0.6,1.4,39.43
0.1,0.6,1.4,39.44
0.1,0.6,1.4,39.45
0.1,0.6,1.4,39.46
0.1,0.6,1.4,39.47
0.1,0.6,1.4,39.48
0.1,0.6,1.4,39.49
0.1,0.6,1.4,39.5
0.1,0.6,1.4,39.51
0.1,0.6,1.4,39.52
0.1,0.6,1.4,39.53
0.1,0.6,1.4,39.54
0.1,0.6,1.4,39.55
0.1,0.6,1.4,39.56
0.1,0.6,1.4,39.57
0.1,0.6,1.4,39.58
0.1,0.6,1.4,39.59
0.1,0.6,1.4,39.6
0.1,0.6,1.4,39.61
0.1,0.6,1.4,39.62
0.1,0.6,1.4,39.63
0.1,0.6,1.4,39.64
0.1,0.6,1.4,39.65
0.1,0.6,1.4,39.66
0.1,0.6,1.4,39.67
0.1,0.6,1.4,39.68
