D [mm],coax_inside [mm],QCOAX_D [mm],freq
0.1,0.1,0.65,62.53
0.1,0.1,0.65,62.54
0.1,0.1,0.65,62.55
0.1,0.1,0.65,62.56
0.1,0.1,0.65,62.57
0.1,0.1,0.65,62.58
0.1,0.1,0.65,62.59
0.1,0.1,0.65,62.6
0.1,0.1,0.65,62.61
0.1,0.1,0.65,62.62
0.1,0.1,0.65,62.63
0.1,0.1,0.65,62.64
0.1,0.1,0.65,62.65
0.1,0.1,0.65,62.66
0.1,0.1,0.65,62.67
0.1,0.1,0.65,62.68
0.1,0.1,0.65,62.69
0.1,0.1,0.65,62.7
0.1,0.1,0.65,62.71
0.1,0.1,0.65,62.72
0.1,0.1,0.65,62.73
0.1,0.1,0.65,62.74
0.1,0.1,0.65,62.75
0.1,0.1,0.65,62.76
0.1,0.1,0.65,62.77
0.1,0.1,0.65,62.78
0.1,0.1,0.65,62.79
0.1,0.1,0.65,62.8
0.1,0.1,0.65,62.81
0.1,0.1,0.65,62.82
0.1,0.1,0.65,62.83
0.1,0.1,0.65,62.84
0.1,0.1,0.65,62.85
0.1,0.1,0.65,62.86
0.1,0.1,0.65,62.87
0.1,0.1,0.65,62.88
0.1,0.1,0.65,62.89
0.1,0.1,0.65,62.9
0.1,0.1,0.65,62.91
0.1,0.1,0.65,62.92
0.1,0.1,0.65,62.93
0.1,0.1,0.65,62.94
0.1,0.1,0.65,62.95
0.1,0.1,0.65,62.96
0.1,0.1,0.65,62.97
0.1,0.1,0.65,62.98
0.1,0.1,0.65,62.99
0.1,0.1,0.65,63
0.1,0.1,0.7,57
0.1,0.1,0.7,57.01
0.1,0.1,0.7,57.02
0.1,0.1,0.7,57.03
0.1,0.1,0.7,57.04
0.1,0.1,0.7,57.05
0.1,0.1,0.7,57.06
0.1,0.1,0.7,57.07
0.1,0.1,0.7,57.08
0.1,0.1,0.7,57.09
0.1,0.1,0.7,57.1
0.1,0.1,0.7,57.11
0.1,0.1,0.7,57.12
0.1,0.1,0.7,57.13
0.1,0.1,0.7,57.14
0.1,0.1,0.7,57.15
0.1,0.1,0.7,57.16
0.1,0.1,0.7,57.17
0.1,0.1,0.7,57.18
0.1,0.1,0.7,57.19
0.1,0.1,0.7,57.2
0.1,0.1,0.7,57.21
0.1,0.1,0.7,57.22
0.1,0.1,0.7,57.23
0.1,0.1,0.7,57.24
0.1,0.1,0.7,57.25
0.1,0.1,0.7,57.26
0.1,0.1,0.7,57.27
0.1,0.1,0.7,57.28
0.1,0.1,0.7,57.29
0.1,0.1,0.7,57.3
0.1,0.1,0.7,57.31
0.1,0.1,0.7,57.32
0.1,0.1,0.7,57.33
0.1,0.1,0.7,57.34
0.1,0.1,0.7,57.35
0.1,0.1,0.7,57.36
0.1,0.1,0.7,57.37
0.1,0.1,0.7,57.38
0.1,0.1,0.7,57.39
0.1,0.1,0.7,57.4
0.1,0.1,0.7,57.41
0.1,0.1,0.7,57.42
0.1,0.1,0.7,57.43
0.1,0.1,0.7,57.44
0.1,0.1,0.7,57.45
0.1,0.1,0.7,57.46
0.1,0.1,0.7,57.47
0.1,0.1,0.7,57.48
0.1,0.1,0.7,57.49
0.1,0.1,0.7,57.5
0.1,0.1,0.7,57.51
0.1,0.1,0.7,57.52
0.1,0.1,0.7,57.53
0.1,0.1,0.7,57.54
0.1,0.1,0.7,57.55
0.1,0.1,0.7,57.56
0.1,0.1,0.7,57.57
0.1,0.1,0.7,57.58
0.1,0.1,0.7,57.59
0.1,0.1,0.7,57.6
0.1,0.1,0.7,57.61
0.1,0.1,0.7,57.62
0.1,0.1,0.7,57.63
0.1,0.1,0.7,57.64
0.1,0.1,0.7,57.65
0.1,0.1,0.7,57.66
0.1,0.1,0.7,57.67
0.1,0.1,0.7,57.68
0.1,0.1,0.7,57.69
0.1,0.1,0.7,57.7
0.1,0.1,0.7,57.71
